"row","column","w(Al_K)","w(Si_K)","w(P_K)","w(S_K)","w(Cl_K)","w(Ar_K)","w(K_K)","w(Ca_K)","w(Ti_K)","w(Mn_K)","w(Fe_K)","w(Ni_K)","w(Cu_K)","w(Zn_K)","w(Rh_L)","Al_K","Si_K","P_K","S_K","Cl_K","Ar_K","K_K","Ca_K","Ti_K","Mn_K","Fe_K","Ni_K","Cu_K","Zn_K","Rh_L","Scatter_Peak000","Scatter_Compton000","Scatter_Peak001","Scatter_Compton001","Scatter_Peak002","Scatter_Compton002","Scatter_Peak003","Scatter_Compton003","chisq","(Si_K/Ar_K)","(P_K/Ar_K)","(S_K/Ar_K)","(Cl_K/Ar_K)","(K_K/Ar_K)","(Ca_K/Ar_K)","(Ti_K/Ar_K)","(Mn_K/Ar_K)","(Fe_K/Ar_K)","(Ni_K/Ar_K)","(Cu_K/Ar_K)","(Zn_K/Ar_K)","(Si_K/Fe_K)","(P_K/Fe_K)","(S_K/Fe_K)","(Cl_K/Fe_K)","(K_K/Fe_K)","(Ca_K/Fe_K)","(Ti_K/Fe_K)","(Mn_K/Fe_K)","(Ni_K/Fe_K)","(Cu_K/Fe_K)","(Zn_K/Fe_K)","(Si_K/Rh_L)","(P_K/Rh_L)","(S_K/Rh_L)","(Cl_K/Rh_L)","(K_K/Rh_L)","(Ca_K/Rh_L)","(Ti_K/Rh_L)","(Mn_K/Rh_L)","(Fe_K/Rh_L)","(Ni_K/Rh_L)","(Cu_K/Rh_L)","(Zn_K/Rh_L)"
37,0,0,0.193435,0.120449,1.56806,0.167907,0.76828,0.590987,0.973129,0.0226846,0.0235312,0.282222,0.000479878,0.015513,0.0126678,1.19847,0,295.268,497.661,11762.1,1301.53,8155.18,10018,21344.4,735.98,1196.62,15843.4,30.1422,963.667,777.217,7465.67,0,0,0,0,0,0,0,0,1.90071,0.0362062,0.0610239,1.44229,0.159595,1.22842,2.61728,0.0902469,0.146731,1.94274,0.00369608,0.118166,0.0953035,0.0186367,0.0314113,0.742397,0.0821497,0.632314,1.34721,0.0464534,0.075528,0.00190251,0.0608245,0.0490562,0.0395501,0.0666599,1.57549,0.174335,1.34188,2.85901,0.0985819,0.160283,2.12217,0.00403744,0.12908,0.104105
38,0,0,0.118672,0.0725312,1.06591,0.136704,0.795904,0.47848,0.589494,0.0230032,0.0181145,0.324806,0.000910877,0.0204059,0.00908539,1.26607,0,174.75,292.024,7943.44,1077.33,8547.65,8169.63,12964.2,760.581,926.224,18276.8,56.7699,1259.21,554.331,7994,0,0,0,0,0,0,0,0,2.00337,0.0204442,0.0341642,0.929313,0.126038,0.955775,1.5167,0.0889813,0.10836,2.13823,0.00664158,0.147317,0.0648519,0.0095613,0.0159779,0.434619,0.0589452,0.446995,0.709325,0.0416146,0.0506776,0.00310612,0.0688966,0.0303298,0.0218601,0.0365304,0.993675,0.134767,1.02197,1.62174,0.095144,0.115865,2.28631,0.00710156,0.157519,0.0693434
39,0,0,0.159802,0.0656713,0.741512,0.204616,0.68595,0.303465,0.830584,0.0243487,0.0333655,0.793205,0.00239119,0.00301864,0.0147734,1.13516,0,206.416,240.414,5376.24,1786.1,7947.09,5590.09,20028.2,838.095,1715.31,44522.3,144.401,181.343,881.377,7826.41,0,0,0,0,0,0,0,0,2.00216,0.0259738,0.0302518,0.676504,0.224749,0.703413,2.52019,0.105459,0.215841,5.60234,0.0181703,0.0228188,0.110906,0.00463624,0.00539986,0.120754,0.040117,0.125557,0.449846,0.0188242,0.038527,0.00324334,0.00407308,0.0197963,0.0263743,0.0307183,0.686936,0.228214,0.71426,2.55905,0.107085,0.219169,5.68873,0.0184505,0.0231706,0.112616
40,0,0,0.265571,0.253136,1.16153,0.0935408,0.634602,0.750261,0.816586,0.0276251,0.0372971,0.783987,0.00117118,0.0322935,0.0152584,1.19526,0,363.718,960.69,8202.31,772.194,7224.47,13407.4,18507.5,938.414,1918.32,44161.7,71.8694,1966.62,920.734,7903.86,0,0,0,0,0,0,0,0,2.2082,0.0503453,0.132977,1.13535,0.106886,1.85583,2.56178,0.129894,0.265531,6.11279,0.00994805,0.272217,0.127447,0.00823605,0.0217539,0.185734,0.0174856,0.303598,0.419085,0.0212495,0.0434385,0.00162741,0.0445323,0.0208492,0.0460178,0.121547,1.03776,0.0976983,1.69631,2.34158,0.118729,0.242707,5.58736,0.00909295,0.248818,0.116492
41,0,0,0.118616,0.068652,0.823334,0.154941,0.711358,0.280854,0.775927,0.0223189,0.034507,0.343041,0.00122913,0.044481,0.026691,1.23992,0,169.004,270.19,6128.73,1283.78,7905.97,4983.12,17928.6,734.377,1754.03,19190.7,75.9506,2725.03,1618.72,8169.88,0,0,0,0,0,0,0,0,1.89932,0.0213768,0.0341754,0.775203,0.162381,0.630298,2.26773,0.0928889,0.221861,2.42737,0.00960674,0.34468,0.204747,0.00880656,0.0140792,0.319359,0.0668959,0.259663,0.934234,0.0382673,0.0914,0.00395768,0.141997,0.0843492,0.0206862,0.0330715,0.750162,0.157136,0.609938,2.19448,0.0898883,0.214695,2.34896,0.00929642,0.333546,0.198133
42,0,0,0.11654,0.0982944,0.960722,0.155775,0.742623,0.315114,0.870359,0.0231458,0.0362546,0.379769,0.00258153,0.0467305,0.0264422,1.24035,0,166.729,387.405,7095.28,1275.83,8215.7,5571.74,20084.4,761.948,1844.36,21263.5,159.747,2866.31,1605.25,8102.67,0,0,0,0,0,0,0,0,2.02384,0.0202939,0.0471542,0.863625,0.155292,0.678182,2.44464,0.0927429,0.224492,2.58815,0.0194441,0.348882,0.195388,0.00784109,0.0182192,0.333684,0.0600009,0.262033,0.944548,0.0358336,0.0867383,0.00751273,0.1348,0.0754932,0.020577,0.047812,0.875672,0.157458,0.687642,2.47874,0.0940367,0.227624,2.62426,0.0197154,0.353749,0.198114
43,0,0,0.266191,0.25336,1.16217,0.0941059,0.634218,0.750145,0.81563,0.0275794,0.0372897,0.783878,0.0011728,0.0322777,0.015251,1.19483,0,364.222,960.794,8199.79,776.368,7223.41,13413.5,18505.6,937.235,1918.12,44156.9,71.9549,1965.33,920.157,7899.44,0,0,0,0,0,0,0,0,2.20817,0.0504224,0.133011,1.13517,0.107479,1.85695,2.56189,0.12975,0.265542,6.11303,0.00996135,0.272078,0.127385,0.00824836,0.0217586,0.185697,0.017582,0.303769,0.419087,0.0212251,0.0434387,0.00162953,0.0445079,0.0208384,0.0461073,0.121628,1.03802,0.0982814,1.69803,2.34265,0.118646,0.242817,5.58988,0.00910886,0.248794,0.116484
44,0,0,0.00601305,0.00449756,0.034903,0.00380291,0.0375168,0.0178957,0.0421004,0.00239913,0.00320975,0.0226223,0.000176468,0.00199503,0.00213777,0.0463167,0,8.17778,17.1209,256.669,33.0059,446.697,334.391,994.708,79.4432,162.787,1260.67,10.7754,120.994,128.562,320.928,0,0,0,0,0,0,0,0,1.2052,0.0183072,0.0383278,0.574593,0.0738888,0.748586,2.22681,0.177846,0.364424,2.8222,0.0241224,0.270864,0.287806,0.00648685,0.0135808,0.203597,0.0261812,0.265249,0.789031,0.0630166,0.129127,0.00854736,0.0959759,0.101979,0.0254817,0.0533481,0.799771,0.102845,1.04195,3.09947,0.247542,0.507238,3.9282,0.0335758,0.377013,0.400595
45,0,0,0.116856,0.108252,0.739331,0.173104,0.742699,0.263511,0.629036,0.0234375,0.0326629,0.288336,0.000983953,0.0302248,0.0206128,1.22449,0,168.538,427.991,5404.62,1412.19,8062.78,4583.58,14356.6,774.965,1666.54,16186.9,61.0566,1858.23,1253.78,7927.27,0,0,0,0,0,0,0,0,1.73422,0.0209032,0.0530823,0.670317,0.175149,0.568486,1.7806,0.0961164,0.206695,2.00761,0.00757265,0.23047,0.155502,0.010412,0.0264406,0.333889,0.0872428,0.283166,0.886927,0.0478761,0.102956,0.00377198,0.114798,0.0774565,0.0212605,0.0539897,0.681776,0.178143,0.578204,1.81104,0.0977594,0.210229,2.04193,0.0077021,0.23441,0.15816
46,0,0,0.102066,0.0927928,0.836163,0.0820682,0.781795,0.301658,0.575641,0.0205119,0.029012,0.197464,0.000649857,0.0196538,0.0188862,1.30421,0,151.995,375.725,6160.97,643.493,8428.93,5194.71,12873.1,670.782,1477.14,11084.6,40.6155,1215.72,1154.63,8223.21,0,0,0,0,0,0,0,0,1.83204,0.0180325,0.0445756,0.730931,0.0763434,0.616295,1.52725,0.0795809,0.175246,1.31507,0.00481858,0.144232,0.136984,0.0137123,0.0338961,0.555813,0.0580529,0.468642,1.16135,0.0605148,0.133261,0.00366414,0.109676,0.104165,0.0184837,0.0456908,0.749217,0.0782533,0.631713,1.56546,0.0815718,0.179631,1.34797,0.00493913,0.14784,0.140411
47,0,0,0.171177,0.0513173,0.765497,0.13442,0.740239,0.402346,0.365128,0.0199794,0.0254887,0.116092,0.000672956,0.00905665,0.0125347,1.26881,0,264.756,214.32,5812.94,1054.3,7785.03,6707.29,7744.23,650.13,1298.8,6530.53,42.3831,563.872,770.5,7928.93,0,0,0,0,0,0,0,0,1.90941,0.0340083,0.0275298,0.746682,0.135427,0.861563,0.994759,0.0835103,0.166833,0.838857,0.00544418,0.0724303,0.098972,0.0405413,0.0328182,0.890118,0.161442,1.02707,1.18585,0.0995524,0.198881,0.00648999,0.086344,0.117984,0.0333911,0.0270301,0.73313,0.132969,0.845926,0.976706,0.0819947,0.163805,0.823633,0.00534537,0.0711158,0.0971758
48,0,0,0.121917,0.111367,0.912336,0.105467,0.763293,0.257948,0.733064,0.0223289,0.030848,0.206441,0.000603716,0.0269155,0.0227345,1.26039,0,181.53,450.768,6712.63,831.766,8243.13,4472.34,16670.9,726.271,1566.7,11567.4,37.7247,1664.66,1389.75,7983.4,0,0,0,0,0,0,0,0,1.95998,0.022022,0.0546841,0.81433,0.100904,0.542554,2.0224,0.0881062,0.190061,1.40328,0.0045765,0.201945,0.168595,0.0156932,0.0389688,0.580306,0.071906,0.386633,1.4412,0.062786,0.135441,0.00326129,0.14391,0.120144,0.0227384,0.0564632,0.840823,0.104187,0.560205,2.0882,0.0909726,0.196245,1.44893,0.00472539,0.208515,0.17408
49,0,0,0.127069,0.137571,0.956106,0.163079,0.729948,0.479751,0.680961,0.0229595,0.0386719,0.611229,0.00079003,0.104455,0.022437,1.15761,0,174.133,523.767,6873.18,1344.31,8141.89,8485.77,15586.1,780.706,1989.36,34433.7,48.4677,6359.77,1353.66,7603.79,0,0,0,0,0,0,0,0,1.95945,0.0213873,0.0643299,0.844175,0.16511,1.04224,1.91431,0.0958876,0.244336,4.2292,0.00595288,0.781117,0.166259,0.00505705,0.0152109,0.199606,0.0390405,0.246438,0.452641,0.0226727,0.0577736,0.00140757,0.184696,0.0393121,0.0229008,0.0688824,0.903915,0.176795,1.11599,2.04978,0.102673,0.261627,4.52849,0.00637415,0.836395,0.178024
50,0,0,0.0977068,0.085808,0.903744,0.0324889,0.678612,0.377467,0.679887,0.0251565,0.0386348,0.433924,0.00103018,0.0754359,0.026054,1.20742,0,136.181,331.569,6587.34,262.959,7659.83,6746.97,15632.6,841.738,1975.37,24355.8,63.3931,4604.98,1575.36,7879.62,0,0,0,0,0,0,0,0,1.88568,0.0177786,0.0432867,0.859985,0.0343296,0.880825,2.04085,0.10989,0.257887,3.17968,0.00827605,0.601186,0.205665,0.00559132,0.0136136,0.270463,0.0107966,0.277017,0.641843,0.0345601,0.0811047,0.00260279,0.189071,0.0646811,0.0172827,0.0420793,0.835997,0.033372,0.856256,1.98393,0.106825,0.250694,3.09099,0.0080452,0.584417,0.199928
51,0,0,0.115631,0.111031,0.84388,0.0868028,0.685286,0.348055,0.812339,0.0243948,0.0447407,0.462586,0.00133729,0.0844088,0.0292507,1.18841,0,159.971,426.612,6136.73,723.934,7825.13,6299.52,18950.2,812.695,2281.04,25901.5,82.1178,5143.55,1766.04,7928.08,0,0,0,0,0,0,0,0,2.02904,0.0204432,0.0545182,0.784234,0.092514,0.805037,2.42171,0.103857,0.291502,3.31004,0.0104941,0.657312,0.225688,0.00617613,0.0164706,0.236926,0.0279495,0.243211,0.731626,0.0313764,0.0880659,0.00317039,0.198581,0.0681829,0.0201778,0.0538103,0.77405,0.0913127,0.794583,2.39026,0.102508,0.287717,3.26706,0.0103578,0.648776,0.222758
52,0,0,0.0886642,0.111665,0.78018,0.0524766,0.732861,0.279996,0.6609,0.0233519,0.0308491,0.355163,0.00057332,0.0549623,0.0207451,1.1856,0,124.69,433.274,5628.54,424.433,8210.1,4994.31,15311.8,777.109,1575.09,19925.1,35.3705,3362.51,1256.65,7715.53,0,0,0,0,0,0,0,0,1.85196,0.0151874,0.0527733,0.685563,0.0516964,0.608313,1.865,0.0946528,0.191848,2.4269,0.00430817,0.409558,0.153061,0.00625794,0.0217451,0.282485,0.0213014,0.250654,0.768468,0.0390015,0.0790505,0.00177517,0.168757,0.0630687,0.0161609,0.0561561,0.729508,0.0550102,0.647306,1.98454,0.10072,0.204145,2.58247,0.00458433,0.435811,0.162873
