Printed_gathering,Handwriting_order,Date,Poem_title,TitleID,InkID,Setup,File_operation,XRF_spot,w(Si_K),w(P_K),w(S_K),w(Cl_K),w(Ar_K),w(K_K),w(Ca_K),w(Ti_K),w(Mn_K),w(Fe_K),w(Ni_K),w(Cu_K),w(Zn_K),w(Rh_L),Si_K,P_K,S_K,Cl_K,Ar_K,K_K,Ca_K,Ti_K,Mn_K,Fe_K,Ni_K,Cu_K,Zn_K,Rh_L,Si_K / Fe_K,P_K / Fe_K,S_K / Fe_K,Cl_K / Fe_K,K_K / Fe_K,Ca_K / Fe_K,Ti_K / Fe_K,Mn_K / Fe_K,Ni_K / Fe_K,Cu_K / Fe_K,Zn_K / Fe_K
B,4th,??,??,12,5,ink - paper,50_s1 - 50_s2,50_s1,-0.07549,0.03836,1.09749,-0.05895,-0.15358,0.08876,1.14545,-4.23E-04,0.01341,0.56987,-0.00132,6.14E-04,0.01598,-0.24468,-125.3654,140.4,8019.37,-592.14,-691.09,1854.29,28284.1,7.789,682.448,31778.09,-83.7789,33.408,949.64,-1671.26,-0.00395,0.00442,0.25236,-0.01863,0.05835,0.89005,2.45E-04,0.02148,-0.00264,0.00105,0.02988
B,4th,??,??,12,5,ink section 1 - paper,51_s1 - 51_s2,51_s1,-0.00134,0.01384,0.21542,0.05448,-0.05355,0.00779,0.30628,-0.0041,3.94E-04,0.12229,-0.00101,3.49E-04,0.00319,-0.01992,-12.366,51.326,1634.9,346.64,-247.04,191.32,7419.27,-119.313,23.19,6805.43,-63.6776,20.113,183.8,-296.55,-0.00182,0.00754,0.24023,0.05094,0.02811,1.0902,-0.01753,0.00341,-0.00936,0.00296,0.02701
B,4th,??,??,12,5,ink section 2 - paper,51_s3 - 51_s2,51_s3,0.00126,0.0875,0.43915,0.20247,-0.07283,0.13792,0.25913,-0.00103,0.00945,0.2385,-8.42E-04,0.00996,-4.08E-04,0.04758,-8.882,345.796,3191.23,1421.29,-827.9,2286.21,5888.37,5.573,503.24,13446.21,-53.0476,613.68,-32.22,-246.65,-6.61E-04,0.02572,0.23733,0.1057,0.17003,0.43792,4.14E-04,0.03743,-0.00395,0.04564,-0.0024
C,NA,??,??,12,5,ink dark - paper ,73_s1 - 73_s3,73_s1,-0.07178,0.04588,-0.37486,-0.07041,-0.246,0.35206,0.31815,-0.00106,0.02051,1.81804,2.81E-04,-2.12E-04,0.01283,-0.31213,-152.372,111.395,-3328.4,-371.934,-1029.63,8474.63,9397.34,51.084,1094.027,102524.74,5.13,-41.809,716.71,-653.78,-0.00149,0.00109,-0.03246,-0.00363,0.08266,0.09166,4.98E-04,0.01067,5.00E-05,0,0.00699
C,NA,??,??,12,5,ink light - paper,73_s2 - 73_s3,73_s2,0.03946,0.07534,0.59879,-0.00186,-0.09387,0.10872,0.54749,0.00256,0.00673,0.21712,-0.00194,0.00832,0.003,-0.0892,48.512,304.029,4283.54,-6.61,-737.4,2115.23,12469.04,89.204,342.757,12182.74,-123.3485,513.201,179.991,-446.04,0.00398,0.02496,0.35161,-5.43E-04,0.17363,1.0235,0.00732,0.02813,-0.01012,0.04213,0.01477
C,NA,??,??,12,5,ink top - paper 73_s3,74_s1 - 73_s3,74_s1,-0.03531,0.02739,0.09755,-0.03335,-0.06641,-0.00401,0.16356,0.00303,0.0018,0.26037,-0.00137,0.01329,-2.62E-04,-0.02095,-72.127,98.108,468.1,-233.28,-343.78,266.41,4091.14,118.915,96.914,14653.64,-87.9524,812.921,-23.384,86.26,-0.00492,0.0067,0.03194,-0.01592,0.01818,0.27919,0.00812,0.00661,-0.006,0.05548,-0.0016
C,NA,??,??,12,5,ink - bottom - paper 73_s3,74_s2 - 73_s3,74_s2,0.00634,0.02066,-0.22732,0.03508,-0.17565,-0.17861,0.40464,0.00431,0.01679,0.72797,1.10E-07,-0.00416,0.00517,-0.15191,-39.626,47.201,-2099.29,479.93,-940.34,-2310.08,11144.14,194.069,872.587,40854.64,-7.1,-268.343,288.091,-82.16,-9.70E-04,0.00116,-0.05138,0.01175,-0.05654,0.27278,0.00475,0.02136,-1.74E-04,0,0.00705
C,NA,??,??,12,5,ink - paper,75_s1 - 75_s2,75_s1,0.11964,0.21618,0.65213,-0.10095,-0.25038,0.53868,0.46586,0.00494,0.01958,0.74021,-1.05E-04,0.02973,0.00343,-0.15104,132.991,803.618,4260.59,-801.061,-1851.94,9918.78,10971.52,211.871,1020.851,41711.03,-8.7941,1806.823,191.811,-613.84,0.00319,0.01927,0.10215,-0.01921,0.2378,0.26304,0.00508,0.02447,-2.11E-04,0.04332,0.0046
C,1st,1678,Upon Nothing by y[e Earl o]f Ro[chester],13,6,ink - paper,77_s1 - 77_s2,77_s1,-0.01959,0.03888,0.52229,-0.09913,-0.13255,0.14479,0.46957,3.79E-04,0.01159,0.30241,8.82E-04,0.03491,0.01029,-0.03068,-46.757,144.42,3763.4,-925.57,-717.08,2740.84,11267.41,32.209,595.36,16917.05,54.052,2128.656,609.82,-229.97,-0.00276,0.00854,0.22246,-0.05471,0.16202,0.66604,0.0019,0.03519,0.0032,0.12583,0.03605
C,1st,1678,Upon Nothing by y[e Earl o]f Ro[chester],13,6,ink - paper 77_s2,78_s1 - 77_s3,78_s1,-0.02178,0.06878,0.66091,-0.10063,-0.10097,0.17872,0.56381,0.00129,0.01341,0.33923,0.00227,0.03724,0.01013,-0.02725,-49.142,262.618,4739.25,-952.74,-407.38,3322.06,13415.71,62.573,689.18,18995.45,140.2896,2274.476,602.35,-279.38,-0.00259,0.01383,0.24949,-0.05016,0.17489,0.70626,0.00329,0.03628,0.00739,0.11974,0.03171
